,config,energy,magnetization
0,"[[-1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1  1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1 -1 -1 -1]
 [-1 -1 -1  1  1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1]
 [-1 -1 -1  1  1  1  1 -1 -1 -1  1  1  1 -1 -1 -1]
 [ 1  1  1  1  1  1  1  1  1 -1 -1  1  1  1 -1 -1]
 [ 1 -1 -1  1  1  1  1  1  1 -1 -1  1  1  1  1  1]
 [ 1 -1 -1 -1  1  1  1  1  1 -1 -1  1  1  1  1  1]
 [ 1  1 -1 -1 -1 -1  1  1  1 -1 -1  1  1  1  1  1]
 [ 1  1 -1 -1 -1 -1 -1  1  1  1  1  1 -1 -1 -1  1]
 [ 1  1 -1 -1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1  1]
 [ 1  1  1  1 -1 -1 -1 -1  1  1  1  1  1  1 -1 -1]
 [-1  1  1  1 -1 -1 -1 -1  1  1  1  1  1  1 -1 -1]
 [-1  1  1  1  1  1 -1 -1  1  1  1  1  1  1 -1 -1]
 [-1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1 -1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]]",-1.1875,0.25
1,"[[ 1 -1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1  1  1  1  1  1  1  1  1 -1 -1  1  1]
 [-1 -1 -1  1  1  1  1 -1 -1 -1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1 -1 -1 -1  1  1  1  1  1  1]
 [ 1  1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1  1  1]
 [-1 -1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1  1  1]
 [-1 -1  1  1  1 -1  1 -1 -1 -1  1  1  1  1  1  1]
 [ 1  1  1  1  1 -1  1  1 -1 -1  1  1  1  1  1  1]
 [ 1  1 -1 -1 -1 -1  1  1 -1 -1  1  1  1  1  1  1]
 [-1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1  1  1 -1 -1]
 [-1 -1  1  1  1 -1  1  1 -1 -1  1  1  1  1 -1 -1]
 [-1 -1  1  1  1 -1  1  1  1 -1 -1 -1  1  1  1  1]
 [ 1 -1 -1 -1 -1 -1  1  1  1  1  1 -1 -1  1  1  1]
 [ 1  1 -1 -1 -1 -1  1  1  1  1  1 -1 -1 -1 -1  1]
 [ 1  1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1 -1  1]]",-0.984375,0.09375
2,"[[-1 -1  1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1]
 [-1 -1  1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1]
 [-1 -1  1  1 -1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1  1  1  1  1  1  1  1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1  1  1  1  1  1 -1 -1 -1 -1 -1]
 [-1  1  1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1 -1]
 [-1  1  1 -1 -1  1  1  1  1 -1 -1 -1 -1  1  1 -1]
 [-1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1  1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1  1  1 -1]
 [ 1 -1 -1  1  1 -1 -1 -1 -1 -1  1  1  1  1  1  1]
 [ 1 -1 -1  1  1 -1 -1 -1 -1 -1  1  1  1  1  1  1]
 [ 1 -1 -1  1  1 -1 -1 -1 -1 -1  1  1  1  1  1  1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1  1  1  1  1  1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1  1  1  1  1  1]
 [ 1  1  1  1  1 -1 -1 -1 -1  1  1  1 -1 -1  1  1]
 [-1 -1  1  1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1 -1]]",-1.21875,-0.0546875
3,"[[ 1  1  1  1  1  1  1  1  1  1 -1 -1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1]
 [ 1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1  1  1  1  1  1  1 -1 -1  1  1  1  1  1  1]
 [-1 -1  1  1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1]
 [-1 -1  1  1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1]
 [-1 -1  1  1  1 -1 -1 -1 -1 -1  1  1  1  1  1 -1]
 [-1 -1  1  1  1 -1 -1  1  1 -1  1  1  1  1  1 -1]
 [-1 -1  1  1  1  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1  1  1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]]",-1.25,0.1875
4,"[[ 1  1  1  1  1 -1 -1 -1  1  1 -1 -1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1 -1 -1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1 -1 -1  1]
 [ 1  1  1  1  1  1  1 -1 -1 -1  1  1 -1 -1 -1  1]
 [ 1  1  1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1 -1  1]
 [ 1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1]
 [ 1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1  1  1 -1 -1  1  1 -1 -1 -1 -1 -1]
 [ 1  1  1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1  1  1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1]]",-1.203125,-0.0546875
5,"[[ 1 -1 -1 -1  1  1  1  1  1 -1 -1 -1  1  1  1  1]
 [ 1 -1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1]
 [-1  1  1  1  1 -1 -1 -1  1  1  1  1  1  1  1 -1]
 [-1 -1  1  1 -1 -1 -1 -1  1  1  1  1 -1 -1  1 -1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1 -1  1  1]
 [ 1 -1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1 -1 -1 -1  1  1 -1 -1  1  1  1 -1 -1 -1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1  1  1 -1  1  1  1  1  1  1 -1]
 [-1 -1 -1 -1 -1 -1  1  1 -1  1  1 -1 -1  1  1  1]
 [-1 -1 -1 -1  1  1  1 -1 -1  1  1 -1 -1  1  1  1]
 [-1 -1 -1 -1  1  1  1 -1 -1  1  1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1  1  1  1 -1 -1 -1  1  1 -1 -1]]",-1.046875,0.1015625
6,"[[-1 -1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1]
 [-1 -1 -1  1  1 -1 -1  1  1  1  1  1  1 -1 -1 -1]
 [-1 -1 -1  1  1  1  1  1  1  1  1  1 -1 -1 -1 -1]
 [-1 -1 -1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1 -1 -1 -1 -1  1  1  1  1]
 [-1 -1 -1 -1 -1  1  1  1 -1 -1  1  1  1  1  1  1]
 [-1 -1 -1 -1 -1  1  1  1 -1 -1  1  1 -1 -1  1  1]
 [ 1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1]
 [ 1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1]
 [ 1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1  1]
 [ 1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1]
 [-1  1  1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1 -1 -1]
 [-1 -1  1  1  1 -1  1  1  1  1  1  1  1  1  1  1]]",-1.140625,-0.03125
7,"[[ 1 -1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1 -1  1]
 [ 1  1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1]
 [ 1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1]
 [ 1  1  1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1  1  1]
 [ 1  1  1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1  1  1]
 [ 1  1 -1 -1 -1 -1  1  1  1  1  1  1 -1 -1 -1  1]
 [ 1  1 -1 -1 -1 -1  1  1  1  1  1  1  1 -1 -1  1]
 [ 1  1  1 -1 -1 -1  1  1  1  1  1  1  1 -1 -1  1]
 [ 1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1]
 [-1 -1 -1 -1  1  1  1  1  1  1  1  1  1  1  1 -1]
 [-1 -1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1]]",-1.1875,-0.0390625
8,"[[ 1  1 -1 -1  1  1  1  1  1  1  1  1 -1 -1  1  1]
 [ 1  1 -1 -1  1  1  1  1  1  1  1  1 -1 -1  1  1]
 [ 1  1  1  1  1  1  1  1 -1 -1  1  1 -1 -1 -1 -1]
 [ 1  1  1  1  1  1  1  1 -1 -1  1  1 -1 -1 -1 -1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [-1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1]
 [-1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1]
 [ 1  1  1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1  1  1]
 [ 1  1  1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1  1  1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1]
 [ 1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1  1]]",-1.21875,-0.046875
9,"[[ 1  1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1]
 [ 1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1]
 [ 1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1]
 [ 1  1  1  1  1  1 -1 -1 -1 -1  1  1  1 -1 -1  1]
 [ 1  1  1  1  1  1 -1 -1  1  1  1  1  1 -1 -1  1]
 [ 1  1  1 -1 -1  1  1  1  1  1  1  1  1 -1 -1  1]
 [ 1  1  1 -1 -1  1  1  1  1  1  1  1 -1 -1 -1 -1]
 [-1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1  1  1  1  1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1]
 [-1  1  1  1  1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1]
 [ 1  1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1  1  1]]",-1.234375,0.015625
