,config,energy,magnetization
0,"[[ 1  1  1 -1 -1 -1  1  1 -1 -1  1 -1 -1 -1 -1  1]
 [-1 -1 -1 -1  1  1 -1 -1 -1  1 -1  1  1 -1  1  1]
 [ 1 -1  1  1  1  1  1 -1 -1 -1  1  1  1  1  1 -1]
 [ 1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1  1  1  1  1]
 [-1 -1 -1 -1  1  1  1  1  1 -1  1 -1 -1 -1  1 -1]
 [ 1  1 -1 -1  1  1  1  1 -1 -1  1  1 -1 -1  1 -1]
 [-1 -1 -1  1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1  1  1  1 -1 -1  1  1 -1 -1  1  1]
 [ 1  1  1  1 -1  1  1 -1  1 -1 -1  1  1 -1 -1  1]
 [-1 -1  1  1 -1 -1  1  1  1  1 -1  1  1  1  1 -1]
 [ 1 -1 -1  1 -1 -1 -1  1 -1 -1  1  1  1 -1 -1  1]
 [-1  1  1  1 -1 -1 -1 -1  1  1 -1  1  1  1  1  1]
 [-1 -1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1 -1  1 -1]
 [-1 -1  1  1  1 -1 -1  1 -1  1 -1 -1 -1 -1  1 -1]
 [ 1 -1 -1  1  1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1  1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1]]",-0.265625,-0.09375
1,"[[ 1  1 -1 -1 -1  1 -1 -1  1  1 -1 -1  1 -1 -1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1 -1  1]
 [-1  1 -1 -1  1 -1 -1  1  1  1 -1 -1  1  1  1 -1]
 [ 1  1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1  1  1  1]
 [-1  1  1 -1 -1  1 -1 -1 -1  1  1  1  1  1  1  1]
 [-1  1  1 -1  1 -1 -1  1 -1  1  1  1  1  1 -1  1]
 [ 1  1  1  1  1  1  1 -1 -1  1  1 -1  1  1  1  1]
 [ 1  1  1 -1  1  1  1  1 -1 -1  1 -1  1  1  1  1]
 [-1 -1 -1  1  1  1  1  1  1  1  1  1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1  1 -1  1  1  1 -1  1]
 [-1  1  1  1 -1  1  1  1  1  1  1  1  1 -1  1 -1]
 [ 1 -1  1  1  1  1 -1 -1  1 -1  1  1 -1 -1  1 -1]
 [-1  1 -1 -1  1 -1 -1  1 -1  1 -1  1  1 -1 -1  1]
 [-1  1  1  1  1 -1 -1  1  1 -1  1  1 -1  1 -1  1]
 [ 1 -1 -1  1  1 -1 -1 -1 -1  1  1 -1 -1  1  1  1]
 [-1 -1  1  1 -1 -1 -1 -1  1 -1  1 -1 -1  1  1 -1]]",-0.1875,0.109375
2,"[[-1 -1  1 -1 -1  1 -1 -1  1  1 -1  1 -1 -1 -1  1]
 [-1 -1  1 -1  1 -1 -1  1  1  1 -1 -1 -1 -1  1  1]
 [-1 -1 -1 -1  1 -1 -1 -1 -1  1 -1  1 -1 -1 -1  1]
 [ 1  1 -1  1 -1  1 -1 -1  1 -1 -1  1  1 -1  1  1]
 [ 1 -1  1  1 -1 -1  1 -1 -1  1 -1  1  1  1  1 -1]
 [ 1 -1 -1  1 -1 -1  1 -1 -1 -1  1  1  1  1 -1 -1]
 [-1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1  1  1  1]
 [ 1 -1  1 -1  1  1  1 -1  1  1 -1 -1 -1 -1  1  1]
 [-1  1  1 -1 -1  1  1  1  1  1 -1  1 -1 -1 -1  1]
 [ 1  1 -1 -1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1  1  1  1 -1  1 -1 -1 -1]
 [ 1  1  1 -1  1  1  1  1  1  1  1  1 -1 -1 -1 -1]
 [ 1 -1  1  1  1  1  1  1 -1 -1 -1 -1  1  1  1 -1]
 [-1  1 -1  1  1  1 -1 -1 -1 -1  1  1  1  1 -1 -1]
 [-1 -1 -1  1  1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1]
 [-1 -1 -1 -1  1 -1 -1 -1  1 -1 -1  1 -1  1  1 -1]]",-0.203125,-0.0546875
3,"[[ 1 -1  1  1 -1 -1  1  1 -1 -1 -1  1  1  1 -1 -1]
 [ 1 -1 -1  1  1 -1  1  1 -1 -1 -1 -1  1  1  1  1]
 [-1  1  1 -1  1 -1 -1 -1 -1 -1 -1  1  1 -1  1 -1]
 [ 1  1  1  1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1]
 [-1  1  1  1 -1  1  1  1  1  1  1 -1 -1  1 -1 -1]
 [-1  1  1  1  1 -1 -1 -1 -1  1 -1  1  1  1 -1 -1]
 [-1  1  1  1  1 -1 -1  1  1 -1 -1  1  1  1 -1 -1]
 [-1  1  1 -1  1 -1  1 -1  1 -1  1 -1 -1 -1 -1  1]
 [-1  1  1 -1  1 -1  1  1  1  1 -1 -1  1  1 -1 -1]
 [-1 -1 -1  1  1 -1  1 -1 -1 -1 -1  1  1 -1 -1 -1]
 [ 1 -1 -1  1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1 -1]
 [ 1 -1  1  1 -1 -1 -1  1 -1  1  1 -1 -1  1 -1  1]
 [ 1  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1 -1 -1 -1 -1 -1 -1 -1  1 -1  1  1  1  1 -1]
 [ 1  1  1  1 -1  1  1 -1 -1 -1  1 -1 -1  1  1 -1]
 [ 1 -1  1 -1 -1 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1]]",-0.25,-0.1015625
4,"[[-1  1  1 -1 -1 -1 -1  1 -1 -1  1 -1  1  1  1  1]
 [ 1  1  1 -1 -1 -1 -1  1  1  1  1  1 -1 -1  1  1]
 [-1 -1  1 -1  1 -1  1 -1 -1 -1  1  1 -1 -1 -1 -1]
 [ 1 -1  1 -1 -1  1  1 -1 -1 -1 -1 -1  1  1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1  1 -1 -1 -1 -1  1 -1]
 [ 1  1  1  1 -1 -1  1 -1 -1  1 -1 -1 -1 -1  1  1]
 [ 1  1  1  1 -1  1 -1  1  1  1 -1 -1 -1  1  1 -1]
 [ 1  1 -1 -1  1  1 -1 -1  1 -1 -1  1 -1  1  1 -1]
 [ 1  1 -1 -1 -1  1  1  1 -1  1 -1  1  1 -1 -1  1]
 [ 1 -1 -1 -1  1 -1 -1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1 -1  1 -1  1 -1  1 -1  1 -1 -1  1 -1]
 [-1  1  1  1  1  1  1  1  1  1 -1 -1 -1  1  1  1]
 [-1 -1  1 -1  1  1 -1 -1  1  1 -1 -1 -1 -1  1  1]
 [ 1  1  1 -1  1  1  1  1  1 -1  1 -1 -1  1 -1 -1]
 [ 1  1  1 -1  1  1 -1  1 -1  1  1 -1 -1  1 -1 -1]
 [ 1  1 -1 -1 -1  1  1 -1 -1  1  1 -1  1  1  1  1]]",-0.21875,0.0859375
5,"[[ 1  1  1  1 -1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1  1  1  1  1 -1 -1  1 -1 -1 -1 -1]
 [ 1  1  1  1 -1  1  1 -1  1  1 -1 -1 -1  1 -1  1]
 [-1  1  1 -1  1  1 -1  1  1 -1 -1 -1  1 -1  1  1]
 [ 1  1 -1  1  1  1 -1 -1 -1  1 -1 -1  1 -1 -1  1]
 [ 1  1  1  1  1  1 -1 -1  1  1 -1  1  1 -1  1 -1]
 [ 1 -1  1 -1  1  1 -1 -1  1 -1 -1 -1  1  1  1  1]
 [ 1  1  1  1 -1  1  1  1 -1  1  1  1  1  1  1  1]
 [ 1 -1  1 -1  1  1  1  1  1  1 -1 -1 -1 -1  1  1]
 [-1 -1 -1 -1  1  1 -1 -1  1  1  1 -1 -1 -1 -1  1]
 [ 1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1  1 -1 -1 -1]
 [ 1 -1 -1  1  1 -1  1  1  1  1 -1  1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1  1 -1  1  1  1  1 -1  1  1  1 -1]
 [ 1  1 -1 -1  1 -1  1 -1 -1  1  1  1  1  1 -1 -1]
 [ 1 -1 -1  1  1 -1 -1  1  1  1 -1  1 -1  1  1 -1]
 [-1 -1  1 -1  1 -1 -1  1  1  1  1 -1 -1 -1 -1  1]]",-0.109375,0.0625
6,"[[ 1  1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1  1  1]
 [ 1  1  1  1  1  1 -1  1 -1 -1 -1 -1 -1  1  1  1]
 [ 1  1  1  1  1  1 -1 -1 -1 -1 -1  1 -1  1  1 -1]
 [ 1 -1  1  1 -1  1 -1  1  1  1 -1  1 -1 -1  1 -1]
 [ 1 -1  1  1  1  1 -1  1  1  1 -1 -1  1  1  1  1]
 [ 1  1  1  1 -1 -1 -1  1  1 -1  1  1 -1  1 -1 -1]
 [-1  1  1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1  1  1  1  1  1  1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1 -1  1 -1  1  1 -1 -1 -1  1 -1 -1  1  1 -1 -1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1 -1 -1 -1]
 [ 1 -1 -1 -1 -1 -1 -1 -1  1  1 -1  1  1 -1 -1 -1]
 [-1 -1  1  1 -1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1  1]
 [ 1 -1 -1  1 -1  1  1  1 -1  1  1  1  1 -1 -1 -1]
 [ 1 -1 -1 -1 -1  1  1  1 -1  1  1  1  1 -1 -1  1]
 [ 1 -1 -1  1  1 -1  1  1 -1 -1 -1  1 -1  1  1 -1]]",-0.421875,-0.046875
7,"[[-1 -1 -1 -1 -1  1  1 -1  1  1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1  1 -1 -1 -1 -1 -1 -1  1  1 -1 -1  1]
 [-1  1  1 -1 -1 -1 -1  1  1 -1  1  1 -1  1 -1 -1]
 [-1  1 -1  1  1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1]
 [-1  1 -1 -1  1  1  1  1  1 -1 -1 -1  1  1 -1  1]
 [-1 -1 -1  1  1 -1 -1  1  1 -1 -1  1 -1  1  1  1]
 [ 1 -1 -1  1  1 -1 -1 -1  1 -1 -1 -1  1  1  1  1]
 [-1 -1 -1  1  1 -1 -1 -1  1 -1 -1 -1  1  1 -1 -1]
 [-1  1 -1  1 -1 -1  1  1  1 -1  1  1 -1 -1  1 -1]
 [-1 -1  1  1 -1 -1 -1  1  1  1 -1  1  1 -1  1 -1]
 [ 1 -1  1  1  1  1 -1  1 -1 -1  1 -1 -1  1  1  1]
 [-1 -1 -1  1  1 -1 -1 -1 -1  1  1 -1  1 -1  1  1]
 [-1 -1 -1  1  1 -1 -1  1  1  1 -1  1 -1 -1  1  1]
 [-1 -1 -1  1  1 -1 -1  1 -1 -1  1  1  1  1 -1 -1]
 [ 1  1 -1 -1 -1 -1 -1  1 -1  1  1 -1 -1 -1  1  1]
 [-1  1 -1  1 -1 -1  1 -1 -1 -1 -1  1 -1  1  1 -1]]",-0.1875,-0.125
8,"[[ 1  1  1 -1 -1  1  1  1 -1 -1 -1 -1  1 -1  1  1]
 [ 1  1  1  1  1 -1  1  1 -1 -1 -1  1  1  1  1  1]
 [ 1 -1 -1  1  1  1 -1  1  1  1 -1  1  1  1  1  1]
 [ 1 -1 -1 -1 -1  1  1  1 -1 -1  1 -1  1  1  1  1]
 [-1 -1  1  1 -1  1 -1 -1 -1 -1 -1  1 -1  1  1 -1]
 [-1  1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1  1 -1]
 [-1  1  1  1 -1 -1 -1  1 -1  1  1  1 -1 -1  1 -1]
 [ 1  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1  1  1  1  1]
 [ 1 -1 -1 -1  1 -1 -1  1 -1 -1  1  1  1  1 -1  1]
 [-1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1]
 [-1  1  1  1 -1  1 -1  1  1  1 -1 -1 -1  1  1 -1]
 [ 1 -1  1 -1 -1 -1 -1 -1  1  1  1  1  1 -1 -1  1]
 [ 1  1  1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1]
 [-1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1 -1  1 -1]
 [ 1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1]
 [-1  1  1 -1 -1 -1  1  1  1 -1  1 -1  1 -1 -1 -1]]",-0.3125,-0.015625
9,"[[ 1 -1  1  1 -1  1 -1 -1  1  1 -1 -1  1 -1 -1 -1]
 [ 1  1  1  1 -1  1  1  1 -1  1  1 -1 -1  1 -1  1]
 [-1  1 -1  1 -1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1]
 [ 1  1 -1  1  1  1  1 -1 -1  1 -1 -1  1  1  1  1]
 [ 1 -1  1  1  1  1  1  1  1 -1 -1  1  1  1 -1 -1]
 [ 1 -1 -1  1  1  1  1  1 -1 -1 -1 -1 -1  1  1 -1]
 [-1 -1 -1 -1  1  1 -1  1  1  1 -1  1  1  1 -1 -1]
 [ 1 -1  1  1  1  1  1 -1  1  1 -1  1 -1 -1 -1 -1]
 [ 1 -1 -1  1 -1 -1 -1  1  1 -1 -1  1  1 -1 -1  1]
 [ 1  1 -1  1  1 -1  1  1 -1  1 -1 -1 -1 -1  1  1]
 [-1  1 -1 -1 -1 -1  1  1 -1 -1  1 -1  1 -1 -1  1]
 [-1  1  1 -1  1  1  1  1  1 -1 -1  1 -1  1 -1  1]
 [ 1 -1  1 -1 -1  1  1 -1 -1  1 -1 -1 -1  1 -1  1]
 [-1 -1  1  1  1 -1  1  1  1  1 -1  1 -1  1  1 -1]
 [-1 -1  1 -1  1  1  1  1 -1 -1  1 -1 -1 -1 -1 -1]
 [ 1 -1  1  1 -1 -1  1 -1 -1  1  1  1  1  1  1  1]]",-0.03125,0.0625
10,"[[ 1  1 -1 -1  1 -1  1  1 -1  1 -1 -1  1 -1 -1  1]
 [ 1  1  1  1  1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1]
 [ 1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [-1  1 -1 -1  1 -1  1  1 -1 -1 -1 -1  1  1  1  1]
 [-1 -1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1]
 [-1  1  1 -1 -1 -1 -1 -1  1  1 -1 -1  1 -1  1  1]
 [ 1 -1 -1  1 -1  1  1 -1  1  1 -1  1 -1 -1 -1 -1]
 [ 1  1  1 -1 -1  1  1  1  1  1 -1 -1  1  1  1  1]
 [-1 -1  1  1  1  1  1  1  1 -1 -1 -1 -1  1  1  1]
 [-1 -1 -1 -1  1 -1  1  1  1 -1 -1  1  1  1  1 -1]
 [ 1 -1 -1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1]
 [ 1 -1 -1 -1  1 -1 -1  1  1 -1  1 -1  1 -1  1  1]
 [-1 -1  1  1  1  1  1  1  1  1 -1  1  1 -1  1 -1]
 [ 1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1 -1  1  1 -1]
 [ 1  1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1]]",-0.234375,-0.0625
